experiment_name,question_id,question,temperature,top_k,prompt_style,prompt_label,retrieved_clauses,answer,similarity_scores
exp01,q01,What happens if coursework is submitted within 24 hours after the deadline?,0.2,3,strict,A,6.9;;6.8,"Answer: If coursework is submitted late but within 24 hours after the deadline, the work will be marked, and ten marks will be deducted from the original mark, with a minimum mark of 40% for undergraduate level or 50% for postgraduate level.

Supporting Regulation: Clause 6.8 | Part 3 | Section 6

Additional Notes: Clause 6.9 states that if coursework is submitted more than 24 hours after the deadline, a mark of zero will be awarded. 

Confidence: High",0.8888;0.8614;0.8586
exp01,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,0.2,3,strict,A,6.8;6.9;11.56,"Answer: If coursework is submitted more than 24 hours late without an extension, a mark of zero will be awarded for the work in question.

Supporting Regulation: Clause 6.9 states, ""If students submit coursework more than 24 hours after the specified deadline, a mark of zero will be awarded for the work in question.""

Additional Notes: Clause 11.56 reinforces this by stating that if a claim for an extension is rejected and the student fails to submit the assessment within 24 hours of the original due date, a mark of zero will also be awarded.

Confidence: High",0.8794;0.8736;0.8565
exp01,q03,How do Progression and Award Boards relate to module results and awards?,0.2,3,strict,A,;;,"Answer:  
Progression and Award Boards are responsible for considering module results and making decisions regarding student progression and awards. They review the performance of students in modules and determine whether students meet the criteria for progression to the next stage of their studies or for the award of qualifications.

Supporting Regulation:  
[Clause — | Part 1 | Section 2] and [Clause — | Part 4 | Section 14]

Additional Notes:  
The specific details regarding the processes and criteria used by Progression and Award Boards are not provided in the excerpts. Therefore, further information may be needed to fully understand their operations and decisions.

Confidence:  
High, based on the relevant clauses indicating the role of Progression and Award Boards in relation to module results and awards.",0.9141;0.8976;0.8953
exp01,q04,What English language qualifications does the University accept for admission?,0.2,3,strict,A,19.28;3.11;3.10,"Answer:  
The University of Westminster accepts various English language qualifications for admission, but a full list of these qualifications is available online and may change due to Immigration and Visas Department requirements.

Supporting Regulation:  
Clause 3.11 states that a full list of the English Language Tests accepted by the University is available online.

Additional Notes:  
Clause 19.28 indicates that standard entry requirements exist for English Language qualifications, but does not specify which qualifications are accepted. Clause 3.10 emphasizes the need for sufficient command of the language(s) in which the course is taught but does not detail specific qualifications.

Confidence:  
High, as the information is directly supported by Clause 3.11.",0.8526;0.8466;0.8411
exp01,q05,What is Recognition of Prior Certificated Learning (RPCL)?,0.2,3,strict,A,;4.16;4.17,"Answer:  
Recognition of Prior Certificated Learning (RPCL) is defined as the process by which appropriate certificated learning from another institution is accredited towards a University of Westminster award. This prior certification must be provided by a recognised academic institution and result from a rigorously assessed learning experience.

Supporting Regulation:  
Clause 4.16 and Clause 4.17

Additional Notes:  
The handbook specifies that RPCL applies only to certified learning that occurred prior to entry into the course of study, and modules taken during the student's registration at the University would not typically qualify for RPCL claims.

Confidence:  
High",0.9647;0.9480;0.9374
exp01,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,0.2,3,strict,A,;4.32;,"Answer:  
Recognition of Prior Experiential Learning (RPEL) is defined as the process by which appropriate experiential learning is assessed and accredited. Experiential learning includes knowledge and skills acquired through life experience, work experience, and study that are not formally attested through any educational or professional certification. It may also encompass instruction-based learning from any institution that has not been examined in public examination systems.

Supporting Regulation:  
Clause 4.32 | Part 2 | Section 4

Additional Notes:  
The handbook does not provide additional definitions or details regarding RPEL beyond what is stated in Clause 4.32.

Confidence:  
High",0.9581;0.9280;0.8986
exp01,q07,What are the principles of assessment in relation to intended learning outcomes?,0.2,3,strict,A,;;2.30,"Answer:  
The principles of assessment in relation to intended learning outcomes are that every approved course will have stated aims and intended learning outcomes, which the curriculum, structure, teaching and learning methods, and forms of assessment are designed to fulfill.

Supporting Regulation:  
Clause 2.30 | Part 1 | Section 2

Additional Notes:  
The specific principles of assessment beyond the relationship to intended learning outcomes are not detailed in the provided excerpts.

Confidence:  
High",0.8959;0.8946;0.8439
exp01,q08,What happens if a student arrives late to an examination?,0.2,3,strict,A,7.37;7.34;7.18,"Answer:  
If a student arrives late to an examination, they can be admitted up to 30 minutes after the start time. However, no extra time will be allowed for the examination if they arrive later than the start time. The invigilator will note the time of their arrival on the student attendance sheet.

Supporting Regulation:  
Clause 7.18 and Clause 7.37.

Additional Notes:  
The handbook does not specify any further consequences for arriving late beyond the noted regulations. 

Confidence:  
High. The answer is directly supported by specific clauses in the regulation excerpts.",0.8696;0.8570;0.8559
exp01,q09,When can a student leave the examination room during an exam?,0.2,3,strict,A,7.36;7.19;7.18,"Answer: A student may leave the examination room only after 30 minutes have passed since the start of the examination, and they must obtain express permission from the invigilator to do so. 

Supporting Regulation: 
- Clause 7.36: ""No student will be permitted to leave the examination room (other than where accompanied by an Invigilator) until 30 minutes after the start of the examination.""
- Clause 7.19: ""A student who wishes to temporarily leave the examination room must first obtain the express permission of the invigilator.""

Additional Notes: Clause 7.18 states that no student may leave the examination during the first 30 minutes or the last 15 minutes of the examination, except under exceptional circumstances as instructed by an invigilator.

Confidence: High",0.9069;0.8905;0.8743
exp01,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,0.2,3,strict,A,11.43;16.29;11.16,"Answer:  
The process for mitigating circumstances involves the Mitigating Circumstances Boards, which are responsible for considering claims under the delegated authority of the relevant Progression and Award Board (Clause 11.16). However, once a decision has been made by a Progression and Award Board, mitigating circumstances cannot be used as grounds for an academic appeal (Clause 16.29). Students wishing to have their mitigating circumstances considered after such a decision must refer to the University’s Mitigating Circumstances Regulations (Section 11).

Supporting Regulation:  
Clause 11.16, Clause 16.29

Additional Notes:  
The handbook does not provide a detailed step-by-step process for submitting mitigating circumstances claims or the specific procedures for academic appeals following a board decision. 

Confidence:  
High",0.8813;0.8768;0.8720
