experiment_name,temperature,top_k,prompt_style,prompt_label,question_id,question,accuracy,clarity,groundedness,notes
exp01,0.2,3,strict,A,q01,What happens if coursework is submitted within 24 hours after the deadline?,3.0,3.0,3.0,Correct late-submission rule; clause support is clear.
exp01,0.2,3,strict,A,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,3.0,3.0,3.0,Correct zero-mark penalty; well grounded in retrieved clauses.
exp01,0.2,3,strict,A,q03,How do Progression and Award Boards relate to module results and awards?,2.0,3.0,1.0,"Reasonable answer, but retrieval is effectively empty so grounding is weak."
exp01,0.2,3,strict,A,q04,What English language qualifications does the University accept for admission?,2.0,3.0,3.0,Accurate but incomplete; points to online list rather than naming qualifications.
exp01,0.2,3,strict,A,q05,What is Recognition of Prior Certificated Learning (RPCL)?,3.0,3.0,3.0,Correct RPCL definition and clearly supported.
exp01,0.2,3,strict,A,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,3.0,3.0,3.0,Correct RPEL definition and clearly supported.
exp01,0.2,3,strict,A,q07,What are the principles of assessment in relation to intended learning outcomes?,2.0,2.0,2.0,Partially correct but too narrow for a broader principles question.
exp01,0.2,3,strict,A,q08,What happens if a student arrives late to an examination?,3.0,3.0,3.0,Correct exam late-arrival rule with strong clause support.
exp01,0.2,3,strict,A,q09,When can a student leave the examination room during an exam?,3.0,3.0,3.0,Correct exam-room exit conditions and well supported.
exp01,0.2,3,strict,A,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,2.0,3.0,2.0,"Mostly correct, but the process explanation is not fully complete."
exp01,0.2,3,strict,A,q11,What is the role of external examiners in progression and award?,2.0,3.0,2.0,"Generally right, though slightly overextended from limited evidence."
exp01,0.2,3,strict,A,q12,How does the University treat plagiarism and academic misconduct penalties?,2.0,3.0,2.0,"Broadly correct, but penalties are described less precisely than ideal."
exp01,0.2,3,strict,A,q13,Can students get an extension for coursework deadlines?,3.0,3.0,3.0,Correct extension rule and strongly grounded.
exp01,0.2,3,strict,A,q14,What rules apply to deferring an assessment?,3.0,3.0,3.0,Correct deferral summary and well grounded.
exp01,0.2,3,strict,A,q15,What reasonable adjustments can disabled students receive for assessments?,2.0,3.0,2.0,"Reasonable answer, but the actual adjustments remain somewhat vague."
exp01,0.2,3,strict,A,q16,How are provisional results and late submission penalties applied before boards?,3.0,3.0,3.0,Correct link between provisional results and late penalties.
exp01,0.2,3,strict,A,q17,What is the relationship between the Student Charter and academic regulations?,2.0,3.0,2.0,"Safe answer, but the relationship is only partly established in the text."
exp01,0.2,3,strict,A,q18,What attendance or participation rules apply to taught modules?,2.0,3.0,2.0,Cautious answer with partial support only.
exp02,0.2,5,strict,A,q01,What happens if coursework is submitted within 24 hours after the deadline?,3.0,3.0,3.0,Correct and complete; extra retrieved context does not harm the answer.
exp02,0.2,5,strict,A,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,3.0,3.0,3.0,Correct zero-mark penalty with strong clause coverage.
exp02,0.2,5,strict,A,q03,How do Progression and Award Boards relate to module results and awards?,3.0,3.0,3.0,Much stronger retrieval here; answer is accurate and well grounded.
exp02,0.2,5,strict,A,q04,What English language qualifications does the University accept for admission?,2.0,3.0,3.0,"Still incomplete, but properly grounded in the regulation text."
exp02,0.2,5,strict,A,q05,What is Recognition of Prior Certificated Learning (RPCL)?,3.0,3.0,3.0,Clear and correct RPCL definition.
exp02,0.2,5,strict,A,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,3.0,3.0,3.0,Clear and correct RPEL definition.
exp02,0.2,5,strict,A,q07,What are the principles of assessment in relation to intended learning outcomes?,3.0,3.0,3.0,Better coverage of assessment principles using multiple relevant clauses.
exp02,0.2,5,strict,A,q08,What happens if a student arrives late to an examination?,3.0,3.0,3.0,Accurate and clearly supported.
exp02,0.2,5,strict,A,q09,When can a student leave the examination room during an exam?,3.0,3.0,3.0,Accurate and clearly supported.
exp02,0.2,5,strict,A,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,3.0,3.0,3.0,More complete process explanation with stronger appeal-related support.
