experiment_name,question_id,question,temperature,top_k,prompt_style,retrieved_clauses,answer,similarity_scores
t0_k3_strict,q01,What happens if coursework is submitted within 24 hours after the deadline?,0.0,3,strict,6.9;;6.8,"Answer: If coursework is submitted within 24 hours after the deadline, the work will be marked, and ten marks will be deducted from the original mark, with a minimum mark of 40% at undergraduate level or 50% at postgraduate level.

Supporting Regulation: Clause 6.8

Additional Notes: None.

Confidence: High",0.8888;0.8614;0.8586
t0_k3_strict,q02,What is the penalty if coursework is submitted more than 24 hours late without an extension?,0.0,3,strict,6.8;6.9;11.56,"Answer: If coursework is submitted more than 24 hours late without an extension, a mark of zero will be awarded for the work in question.

Supporting Regulation: Clause 6.9

Additional Notes: Clause 11.56 also states that if a claim for an extension is rejected and the student fails to submit the assessment within 24 hours of the original due date, a mark of zero will be awarded.

Confidence: High",0.8794;0.8736;0.8565
t0_k3_strict,q03,How do Progression and Award Boards relate to module results and awards?,0.0,3,strict,;;,"Answer:  
Progression and Award Boards are responsible for considering module results and making decisions regarding student progression and awards. They evaluate the performance of students based on the results from modules and determine whether students meet the criteria for progression to the next stage of their studies or for the conferment of awards.

Supporting Regulation:  
[Clause — | Part 1 | Section 2] and [Clause — | Part 4 | Section 14]

Additional Notes:  
The specific details regarding the processes and criteria used by Progression and Award Boards are not provided in the excerpts. Therefore, further information may be needed to fully understand their operations and decision-making processes.

Confidence:  
High, as the answer directly references the relevant clauses regarding the role of Progression and Award Boards in relation to module results and awards.",0.9141;0.8976;0.8953
t0_k3_strict,q04,What English language qualifications does the University accept for admission?,0.0,3,strict,19.28;3.11;3.10,"Answer:  
The University of Westminster accepts various English language qualifications for admission, but a full list of these qualifications is available online and may change based on Immigration and Visas Department requirements.

Supporting Regulation:  
Clause 3.11 states that a full list of the English Language Tests accepted by the University is available online.

Additional Notes:  
Clause 19.28 indicates that standard entry requirements exist for English Language qualifications, but does not specify which qualifications are accepted. Clause 3.10 emphasizes the need for sufficient command of the language(s) in which the course is taught but does not detail specific qualifications.

Confidence:  
High, as the information is directly supported by Clause 3.11.",0.8526;0.8466;0.8411
t0_k3_strict,q05,What is Recognition of Prior Certificated Learning (RPCL)?,0.0,3,strict,;4.16;4.17,"Answer:  
Recognition of Prior Certificated Learning (RPCL) is defined as the process by which appropriate certificated learning from another institution is accredited towards a University of Westminster award. This prior certification must be provided by a recognised academic institution and should result from a rigorously assessed learning experience.

Supporting Regulation:  
Clause 4.16 and Clause 4.17.

Additional Notes:  
The handbook specifies that RPCL applies to certified learning prior to entry into the course of study, and modules taken outside of the course during the student's registration at the University would not normally qualify for RPCL claims.

Confidence:  
High. The answer is directly supported by the relevant clauses in the regulation excerpts.",0.9647;0.9480;0.9374
t0_k3_strict,q06,How is Recognition of Prior Experiential Learning (RPEL) defined?,0.0,3,strict,;4.32;,"Answer:  
The Recognition of Prior Experiential Learning (RPEL) is defined as the process by which appropriate experiential learning is assessed and accredited. Experiential learning includes knowledge and skills acquired through life experience, work experience, and study that are not formally attested through any educational or professional certification. It may also encompass instruction-based learning from any institution that has not been examined in public examination systems.

Supporting Regulation:  
Clause 4.32 | Part 2 | Section 4

Additional Notes:  
The handbook does not provide further definitions or details regarding RPEL beyond what is stated in Clause 4.32.

Confidence:  
High",0.9581;0.9280;0.8986
t0_k3_strict,q07,What are the principles of assessment in relation to intended learning outcomes?,0.0,3,strict,;;2.30,"Answer:  
The principles of assessment in relation to intended learning outcomes are that every approved course will have stated aims and intended learning outcomes, which the curriculum, structure, teaching and learning methods, and forms of assessment are designed to fulfill.

Supporting Regulation:  
Clause 2.30 | Part 1 | Section 2

Additional Notes:  
The handbook does not provide further details on the specific principles of assessment beyond the connection to intended learning outcomes. 

Confidence:  
High",0.8959;0.8946;0.8439
t0_k3_strict,q08,What happens if a student arrives late to an examination?,0.0,3,strict,7.37;7.34;7.18,"Answer: If a student arrives late to an examination, the invigilator will note the time of their arrival on the student attendance sheet. Students can be admitted up to 30 minutes after the start of the examination, but no extra time will be allowed for those who arrive later than the start time.

Supporting Regulation: 
- Clause 7.37: ""Where a student arrives late, the invigilator will note the time of their arrival on the student attendance sheet.""
- Clause 7.18: ""Students can be admitted up to 30 minutes after the start of the examination. No extra time will be allowed to a student who arrives later than the start time of the examination.""

Additional Notes: None.
Confidence: High",0.8696;0.8570;0.8559
t0_k3_strict,q09,When can a student leave the examination room during an exam?,0.0,3,strict,7.36;7.19;7.18,"Answer: A student can leave the examination room only after 30 minutes have passed since the start of the examination, and they must obtain express permission from the invigilator to do so. 

Supporting Regulation: 
- Clause 7.36: ""No student will be permitted to leave the examination room (other than where accompanied by an Invigilator) until 30 minutes after the start of the examination.""
- Clause 7.19: ""A student who wishes to temporarily leave the examination room must first obtain the express permission of the invigilator.""

Additional Notes: Clause 7.18 states that no student may leave the examination during the first 30 minutes or the last 15 minutes of the examination, except under exceptional circumstances with invigilator instructions. 

Confidence: High",0.9069;0.8905;0.8743
t0_k3_strict,q10,What is the process for mitigating circumstances and academic appeals after a board decision?,0.0,3,strict,11.43;16.29;11.16,"Answer: The process for mitigating circumstances involves the Mitigating Circumstances Boards, which are responsible for considering claims under the delegated authority of the relevant Progression and Award Board (Clause 11.16). However, mitigating circumstances cannot be used as grounds for an academic appeal following a board decision (Clause 16.29). Students wishing to have mitigating circumstances considered after an assessment decision must refer to the University’s Mitigating Circumstances Regulations (Section 11).

Supporting Regulation: 
- Clause 11.16
- Clause 16.29

Additional Notes: The handbook does not provide a detailed step-by-step process for submitting mitigating circumstances claims or the specific academic appeal process after a board decision. 

Confidence: High",0.8813;0.8768;0.8720
